100000,10000,5.96163,2
100000,10000,3.22039,4
100000,10000,1.634,8
100000,10000,0.83438,16
100000,10000,0.472541,32
100000,100000,63.2355,2
100000,100000,30.9202,4
100000,100000,16.1826,8
100000,100000,8.886,16
100000,100000,5.07793,32
500000,10000,27.7731,2
500000,10000,14.6568,4
500000,10000,7.6343,8
500000,10000,3.95928,16
500000,10000,2.04284,32
500000,100000,291.54,2
500000,100000,152.674,4
500000,100000,74.8819,8
500000,100000,38.3779,16
500000,100000,20.9309,32
1000000,10000,57.1893,2
1000000,10000,29.6989,4
1000000,10000,14.8171,8
1000000,10000,7.68864,16
1000000,10000,4.01494,32
1000000,100000,587.281,2
1000000,100000,299.546,4
1000000,100000,151.062,8
1000000,100000,77.4254,16
1000000,100000,40.8502,32
5000000,10000,290.031,2
5000000,10000,151.705,4
5000000,10000,78.4339,8
5000000,10000,40.9432,16
5000000,10000,20.7236,32
5000000,100000,2882.73,2
5000000,100000,1459.06,4
5000000,100000,755.616,8
5000000,100000,391.079,16
5000000,100000,200.493,32
