100000,10000,5.76577,2
100000,10000,2.9161,4
100000,10000,1.47292,8
100000,10000,0.758263,16
100000,10000,0.419276,32
100000,100000,59.8687,2
100000,100000,30.6721,4
100000,100000,16.5024,8
100000,100000,8.33603,16
100000,100000,5.02809,32
500000,10000,28.9526,2
500000,10000,14.4037,4
500000,10000,7.3181,8
500000,10000,4.18496,16
500000,10000,2.16048,32
500000,100000,300.101,2
500000,100000,152.072,4
500000,100000,80.0141,8
500000,100000,36.8043,16
500000,100000,21.8889,32
1000000,10000,63.822,2
1000000,10000,28.8598,4
1000000,10000,15.7922,8
1000000,10000,8.8411,16
1000000,10000,4.73308,32
1000000,100000,629.473,2
1000000,100000,309.97,4
1000000,100000,156.387,8
1000000,100000,76.4741,16
1000000,100000,48.3103,32
5000000,10000,313.864,2
5000000,10000,158.033,4
5000000,10000,78.7572,8
5000000,10000,42.9491,16
5000000,10000,22.2312,32
5000000,100000,3048.28,2
5000000,100000,1541.4,4
5000000,100000,778.461,8
5000000,100000,389.877,16
5000000,100000,189.144,32
