0,0
0.01,0.0195042
0.02,0.0389995
0.03,0.0584772
0.04,0.0779283
0.05,0.0973435
0.06,0.116713
0.07,0.136028
0.08,0.155277
0.09,0.17445
0.1,0.193536
0.11,0.212522
0.12,0.231397
0.13,0.250147
0.14,0.268758
0.15,0.287216
0.16,0.305505
0.17,0.323609
0.18,0.341512
0.19,0.359195
0.2,0.376639
0.21,0.393826
0.22,0.410735
0.23,0.427346
0.24,0.443637
0.25,0.459585
0.26,0.475168
0.27,0.490364
0.28,0.505147
0.29,0.519495
0.3,0.533383
0.31,0.546786
0.32,0.559681
0.33,0.572044
0.34,0.58385
0.35,0.595076
0.36,0.605699
0.37,0.615697
0.38,0.625048
0.39,0.633732
0.4,0.641729
0.41,0.64902
0.42,0.655588
0.43,0.661419
0.44,0.666497
0.45,0.670809
0.46,0.674347
0.47,0.677099
0.48,0.679059
0.49,0.680221
0.5,0.680583
0.51,0.680142
0.52,0.678899
0.53,0.676857
0.54,0.67402
0.55,0.670394
0.56,0.665987
0.57,0.660809
0.58,0.654871
0.59,0.648188
0.6,0.640772
0.61,0.632641
0.62,0.623812
0.63,0.614303
0.64,0.604135
0.65,0.593326
0.66,0.5819
0.67,0.569878
0.68,0.557281
0.69,0.544135
0.7,0.530461
0.71,0.516283
0.72,0.501624
0.73,0.486509
0.74,0.47096
0.75,0.455
0.76,0.438653
0.77,0.42194
0.78,0.404883
0.79,0.387505
0.8,0.369825
0.81,0.351864
0.82,0.333643
0.83,0.315178
0.84,0.29649
0.85,0.277596
0.86,0.258513
0.87,0.239257
0.88,0.219845
0.89,0.200291
0.9,0.180611
0.91,0.160818
0.92,0.140927
0.93,0.12095
0.94,0.100901
0.95,0.0807915
0.96,0.0606349
0.97,0.0404429
0.98,0.0202273
0.99,0
